Symbol,Name,LastSale, MarketCap ,ADR TSO,IPOyear,Sector,Industry,Summary Quote
HWKN,"Hawkins, Inc.",40.2," 427,105,905 ",n/a,n/a,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/hwkn
SGH,"SMART Global Holdings, Inc.",18.65," 427,593,231 ",n/a,2017,Technology,Semiconductors,https://www.nasdaq.com/symbol/sgh
VBND,ETF Series Solutions Trust Vident Core U.S. Bond Strategy Fund,49.74," 427,764,000 ",n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vbnd
PRQR,ProQR Therapeutics N.V.,11.01," 428,195,833 ",n/a,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/prqr
SWIR,"Sierra Wireless, Inc.",11.85," 428,381,043 ",n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/swir
SIBN,"SI-BONE, Inc.",17.46," 428,878,815 ",n/a,2018,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/sibn
RRGB,"Red Robin Gourmet Burgers, Inc.",33.1," 429,179,433 ",n/a,2002,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/rrgb
LOCO,"El Pollo Loco Holdings, Inc.",11.17," 429,298,855 ",n/a,2014,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/loco
BKCC,BlackRock Capital Investment Corporation,6.26," 430,914,956 ",n/a,2007,n/a,n/a,https://www.nasdaq.com/symbol/bkcc
CRESY,Cresud S.A.C.I.F. y A.,10.7," 431,246,615 ",40303422,1997,Finance,Real Estate,https://www.nasdaq.com/symbol/cresy
CBAY,CymaBay Therapeutics Inc.,6.28," 431,398,590 ",n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cbay
NEWT,Newtek Business Services Corp.,22.6," 432,007,113 ",n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/newt
OLBK,"Old Line Bancshares, Inc.",25.39," 432,636,637 ",n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/olbk
