As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Sep 19, 2011","1,753.14",110.03,--,"119,900,000.00"
"Sep 16, 2011","1,745.11",109.52,--,"119,600,000.00"
"Sep 15, 2011","1,744.25",109.46,--,"119,300,000.00"
"Sep 14, 2011","1,747.71",109.68,--,"119,200,000.00"
"Sep 13, 2011","1,747.57",109.67,--,"118,700,000.00"
"Sep 12, 2011","1,751.37",109.91,--,"119,100,000.00"
"Sep 09, 2011","1,754.07",110.08,--,"118,600,000.00"
"Sep 08, 2011","1,749.89",109.83,--,"118,400,000.00"
"Sep 07, 2011","1,747.70",109.71,--,"118,300,000.00"
"Sep 06, 2011","1,751.17",109.93,--,"118,200,000.00"
"Sep 02, 2011","1,750.90",109.91,--,"117,400,000.00"
"Sep 01, 2011","1,743.20",109.42,0.23,"115,900,000.00"
"Aug 31, 2011","1,737.55",109.28,--,"115,200,000.00"
"Aug 30, 2011","1,739.53",109.40,--,"115,100,000.00"
"Aug 29, 2011","1,732.16",108.94,--,"114,900,000.00"
"Aug 26, 2011","1,736.42",109.21,--,"114,900,000.00"
"Aug 25, 2011","1,733.17",109.01,--,"114,700,000.00"
"Aug 24, 2011","1,730.28",108.83,--,"114,600,000.00"
"Aug 23, 2011","1,738.86",109.39,--,"114,600,000.00"
"Aug 22, 2011","1,744.36",109.74,--,"114,500,000.00"
"Aug 19, 2011","1,746.39",109.87,--,"114,500,000.00"
"Aug 18, 2011","1,747.51",109.93,--,"114,500,000.00"
"Aug 17, 2011","1,744.13",109.73,--,"114,400,000.00"
"Aug 16, 2011","1,740.95",109.52,--,"114,300,000.00"
"Aug 15, 2011","1,736.43",109.24,--,"114,300,000.00"
"Aug 12, 2011","1,740.21",109.47,--,"114,300,000.00"
"Aug 11, 2011","1,733.56",109.05,--,"114,300,000.00"
"Aug 10, 2011","1,746.19",109.84,--,"114,100,000.00"
"Aug 09, 2011","1,740.96",109.49,--,"114,100,000.00"
"Aug 08, 2011","1,732.23",108.97,--,"114,100,000.00"
"Aug 05, 2011","1,724.60",108.49,--,"114,100,000.00"
"Aug 04, 2011","1,733.98",109.09,--,"114,100,000.00"
"Aug 03, 2011","1,726.04",108.60,--,"114,100,000.00"
"Aug 02, 2011","1,725.03",108.53,--,"114,000,000.00"
"Aug 01, 2011","1,717.03",108.02,0.30,"113,500,000.00"
"Jul 29, 2011","1,712.53",108.01,--,"113,400,000.00"
"Jul 28, 2011","1,702.40",107.39,--,"113,300,000.00"
"Jul 27, 2011","1,699.78",107.22,--,"113,300,000.00"
"Jul 26, 2011","1,702.27",107.38,--,"113,000,000.00"
"Jul 25, 2011","1,698.52",107.14,--,"113,000,000.00"
"Jul 22, 2011","1,701.41",107.32,--,"113,000,000.00"
"Jul 21, 2011","1,697.61",107.09,--,"112,700,000.00"
"Jul 20, 2011","1,701.02",107.30,--,"112,600,000.00"
"Jul 19, 2011","1,703.27",107.44,--,"112,500,000.00"
"Jul 18, 2011","1,701.23",107.31,--,"112,400,000.00"
"Jul 15, 2011","1,702.38",107.39,--,"112,400,000.00"
"Jul 14, 2011","1,701.31",107.33,--,"111,900,000.00"
"Jul 13, 2011","1,704.59",107.54,--,"111,900,000.00"
"Jul 12, 2011","1,702.57",107.41,--,"111,900,000.00"
"Jul 11, 2011","1,701.98",107.38,--,"111,900,000.00"
"Jul 08, 2011","1,697.03",107.07,--,"111,900,000.00"
"Jul 07, 2011","1,686.98",106.45,--,"111,900,000.00"
"Jul 06, 2011","1,690.88",106.69,--,"111,800,000.00"
"Jul 05, 2011","1,688.70",106.56,--,"111,700,000.00"
"Jul 01, 2011","1,683.70",106.24,0.30,"111,100,000.00"
"Jun 30, 2011","1,685.78",106.66,--,"111,100,000.00"
"Jun 29, 2011","1,687.23",106.76,--,"111,100,000.00"
"Jun 28, 2011","1,689.21",106.89,--,"110,500,000.00"
"Jun 27, 2011","1,696.12",107.32,--,"110,500,000.00"
"Jun 24, 2011","1,700.85",107.63,--,"110,200,000.00"
"Jun 23, 2011","1,699.98",107.58,--,"109,600,000.00"
"Jun 22, 2011","1,695.35",107.30,--,"109,600,000.00"
"Jun 21, 2011","1,694.32",107.23,--,"109,500,000.00"
"Jun 20, 2011","1,694.83",107.26,--,"109,300,000.00"
"Jun 17, 2011","1,695.31",107.30,--,"109,200,000.00"
"Jun 16, 2011","1,697.02",107.40,--,"108,600,000.00"
"Jun 15, 2011","1,695.35",107.30,--,"108,300,000.00"
"Jun 14, 2011","1,687.57",106.80,--,"107,900,000.00"
"Jun 13, 2011","1,694.23",107.23,--,"107,600,000.00"
"Jun 10, 2011","1,695.37",107.30,--,"107,400,000.00"
"Jun 09, 2011","1,693.90",107.21,--,"107,200,000.00"
"Jun 08, 2011","1,697.39",107.42,--,"106,400,000.00"
"Jun 07, 2011","1,693.82",107.20,--,"106,300,000.00"
"Jun 06, 2011","1,693.20",107.16,--,"106,100,000.00"
"Jun 03, 2011","1,693.66",107.19,--,"106,100,000.00"
"Jun 02, 2011","1,691.38",107.05,--,"106,100,000.00"
"Jun 01, 2011","1,696.51",107.38,0.31,"105,600,000.00"
"May 31, 2011","1,690.73",107.33,--,"105,600,000.00"
"May 27, 2011","1,688.75",107.20,--,"105,600,000.00"
"May 26, 2011","1,689.41",107.25,--,"104,900,000.00"
"May 25, 2011","1,684.35",106.92,--,"104,900,000.00"
"May 24, 2011","1,684.71",106.95,--,"104,600,000.00"
"May 23, 2011","1,684.03",106.91,--,"104,500,000.00"
"May 20, 2011","1,682.81",106.84,--,"104,300,000.00"
"May 19, 2011","1,681.54",106.76,--,"103,900,000.00"
"May 18, 2011","1,681.28",106.74,--,"103,900,000.00"
"May 17, 2011","1,685.03",106.98,--,"103,500,000.00"
"May 16, 2011","1,682.68",106.83,--,"103,500,000.00"
"May 13, 2011","1,679.32",106.61,--,"103,400,000.00"
"May 12, 2011","1,676.66",106.45,--,"103,400,000.00"
"May 11, 2011","1,679.34",106.63,--,"103,300,000.00"
"May 10, 2011","1,676.38",106.44,--,"103,300,000.00"
"May 09, 2011","1,680.04",106.67,--,"103,300,000.00"
"May 06, 2011","1,678.45",106.57,--,"103,700,000.00"
"May 05, 2011","1,677.50",106.52,--,"103,200,000.00"
"May 04, 2011","1,673.68",106.28,--,"103,200,000.00"
"May 03, 2011","1,671.87",106.16,--,"103,200,000.00"
"May 02, 2011","1,669.72",106.03,0.32,"103,200,000.00"
"Apr 29, 2011","1,668.95",106.27,--,"106,000,000.00"
"Apr 28, 2011","1,667.11",106.17,--,"103,100,000.00"
"Apr 27, 2011","1,662.73",105.90,--,"103,100,000.00"
"Apr 26, 2011","1,665.24",106.06,--,"103,100,000.00"
"Apr 25, 2011","1,661.77",105.84,--,"103,100,000.00"
"Apr 21, 2011","1,658.46",105.63,--,"103,100,000.00"
"Apr 20, 2011","1,658.60",105.64,--,"103,100,000.00"
"Apr 19, 2011","1,660.93",105.80,--,"103,100,000.00"
"Apr 18, 2011","1,659.78",105.72,--,"103,300,000.00"
"Apr 15, 2011","1,656.61",105.52,--,"103,400,000.00"
"Apr 14, 2011","1,650.39",105.12,--,"103,500,000.00"
"Apr 13, 2011","1,651.66",105.21,--,"103,500,000.00"
"Apr 12, 2011","1,648.96",105.03,--,"103,500,000.00"
"Apr 11, 2011","1,643.75",104.71,--,"103,500,000.00"
"Apr 08, 2011","1,643.07",104.67,--,"103,500,000.00"
"Apr 07, 2011","1,643.57",104.70,--,"103,600,000.00"
"Apr 06, 2011","1,643.03",104.68,--,"103,600,000.00"
"Apr 05, 2011","1,645.96",104.86,--,"103,600,000.00"
"Apr 04, 2011","1,649.76",105.10,--,"103,900,000.00"
"Apr 01, 2011","1,647.88",104.98,0.31,"103,900,000.00"
"Mar 31, 2011","1,648.03",105.30,--,"104,000,000.00"
"Mar 30, 2011","1,647.42",105.27,--,"104,000,000.00"
"Mar 29, 2011","1,644.40",105.07,--,"104,000,000.00"
"Mar 28, 2011","1,647.31",105.25,--,"104,500,000.00"
"Mar 25, 2011","1,647.30",105.25,--,"104,500,000.00"
"Mar 24, 2011","1,650.10",105.44,--,"104,600,000.00"
"Mar 23, 2011","1,652.56",105.58,--,"104,600,000.00"
"Mar 22, 2011","1,652.92",105.60,--,"104,600,000.00"
"Mar 21, 2011","1,654.15",105.69,--,"104,600,000.00"
"Mar 18, 2011","1,657.26",105.88,--,"104,600,000.00"
"Mar 17, 2011","1,657.95",105.93,--,"104,600,000.00"
"Mar 16, 2011","1,661.05",106.13,--,"104,600,000.00"
"Mar 15, 2011","1,654.59",105.74,--,"104,600,000.00"
"Mar 14, 2011","1,654.46",105.72,--,"104,600,000.00"
"Mar 11, 2011","1,650.70",105.48,--,"104,600,000.00"
"Mar 10, 2011","1,650.97",105.51,--,"104,600,000.00"
"Mar 09, 2011","1,645.83",105.19,--,"104,600,000.00"
"Mar 08, 2011","1,640.70",104.86,--,"104,600,000.00"
"Mar 07, 2011","1,643.84",105.06,--,"104,600,000.00"
"Mar 04, 2011","1,643.64",105.04,--,"104,600,000.00"
"Mar 03, 2011","1,636.80",104.61,--,"104,600,000.00"
"Mar 02, 2011","1,644.22",105.08,--,"104,600,000.00"
"Mar 01, 2011","1,647.89",105.32,0.28,"104,600,000.00"
"Feb 28, 2011","1,647.12",105.56,--,"104,600,000.00"
"Feb 25, 2011","1,644.53",105.40,--,"104,600,000.00"
"Feb 24, 2011","1,643.00",105.30,--,"104,600,000.00"
"Feb 23, 2011","1,640.13",105.11,--,"104,800,000.00"
"Feb 22, 2011","1,640.94",105.18,--,"104,800,000.00"
"Feb 18, 2011","1,633.15",104.68,--,"105,000,000.00"
"Feb 17, 2011","1,633.99",104.74,--,"105,100,000.00"
"Feb 16, 2011","1,629.92",104.48,--,"105,200,000.00"
"Feb 15, 2011","1,630.45",104.52,--,"106,000,000.00"
"Feb 14, 2011","1,629.35",104.45,--,"106,000,000.00"
"Feb 11, 2011","1,626.28",104.25,--,"106,100,000.00"
"Feb 10, 2011","1,621.84",103.97,--,"106,100,000.00"
"Feb 09, 2011","1,626.63",104.28,--,"106,200,000.00"
"Feb 08, 2011","1,621.74",103.97,--,"106,200,000.00"
"Feb 07, 2011","1,627.45",104.33,--,"106,200,000.00"
"Feb 04, 2011","1,626.29",104.24,--,"106,200,000.00"
"Feb 03, 2011","1,632.58",104.65,--,"106,200,000.00"
"Feb 02, 2011","1,635.96",104.86,--,"106,200,000.00"
"Feb 01, 2011","1,639.29",105.08,0.32,"106,200,000.00"
"Jan 31, 2011","1,643.01",105.63,--,"106,200,000.00"
"Jan 28, 2011","1,645.59",105.81,--,"106,200,000.00"
"Jan 27, 2011","1,642.69",105.62,--,"106,200,000.00"
"Jan 26, 2011","1,639.02",105.39,--,"106,200,000.00"
"Jan 25, 2011","1,645.52",105.82,--,"106,200,000.00"
"Jan 24, 2011","1,640.10",105.47,--,"106,200,000.00"
"Jan 21, 2011","1,639.12",105.40,--,"106,200,000.00"
"Jan 20, 2011","1,636.16",105.21,--,"106,200,000.00"
"Jan 19, 2011","1,643.83",105.71,--,"106,200,000.00"
"Jan 18, 2011","1,641.56",105.56,--,"106,200,000.00"
"Jan 14, 2011","1,643.17",105.67,--,"106,200,000.00"
"Jan 13, 2011","1,644.81",105.78,--,"106,300,000.00"
"Jan 12, 2011","1,640.73",105.52,--,"106,300,000.00"
"Jan 11, 2011","1,641.11",105.54,--,"106,300,000.00"
"Jan 10, 2011","1,642.93",105.65,--,"106,300,000.00"
"Jan 07, 2011","1,641.36",105.56,--,"106,300,000.00"
"Jan 06, 2011","1,634.79",105.15,--,"106,300,000.00"
"Jan 05, 2011","1,630.82",104.88,--,"106,300,000.00"
"Jan 04, 2011","1,639.94",105.47,--,"106,300,000.00"
"Jan 03, 2011","1,639.71",105.46,--,"106,300,000.00"
"Dec 31, 2010","1,641.10",105.55,--,"106,300,000.00"
"Dec 30, 2010","1,635.46",105.19,--,"106,300,000.00"
"Dec 29, 2010","1,637.04",105.29,--,"106,300,000.00"
"Dec 28, 2010","1,626.15",104.57,0.34,"106,300,000.00"
"Dec 27, 2010","1,634.44",105.46,--,"106,300,000.00"
"Dec 23, 2010","1,631.70",105.27,--,"106,300,000.00"
"Dec 22, 2010","1,634.81",105.48,--,"106,300,000.00"
"Dec 21, 2010","1,635.89",105.55,--,"106,300,000.00"
"Dec 20, 2010","1,633.97",105.42,--,"106,600,000.00"
"Dec 17, 2010","1,635.03",105.49,--,"108,100,000.00"
"Dec 16, 2010","1,623.83",104.76,--,"108,800,000.00"
"Dec 15, 2010","1,621.70",104.63,--,"109,600,000.00"
"Dec 14, 2010","1,625.86",104.89,--,"109,600,000.00"
"Dec 13, 2010","1,636.31",105.58,--,"110,100,000.00"
"Dec 10, 2010","1,633.72",105.41,--,"110,300,000.00"
"Dec 09, 2010","1,637.09",105.63,--,"110,700,000.00"
"Dec 08, 2010","1,635.81",105.55,--,"111,800,000.00"
"Dec 07, 2010","1,640.23",105.83,--,"111,800,000.00"
"Dec 06, 2010","1,653.92",106.72,--,"112,100,000.00"
"Dec 03, 2010","1,647.73",106.31,--,"112,100,000.00"
"Dec 02, 2010","1,646.42",106.23,--,"114,300,000.00"
"Dec 01, 2010","1,648.25",106.34,0.55,"112,200,000.00"
"Nov 30, 2010","1,658.99",107.60,--,"112,200,000.00"
"Nov 29, 2010","1,658.30",107.57,--,"112,400,000.00"
"Nov 26, 2010","1,655.93",107.41,--,"112,400,000.00"
"Nov 24, 2010","1,653.08",107.22,--,"112,400,000.00"
"Nov 23, 2010","1,662.76",107.85,--,"112,400,000.00"
"Nov 22, 2010","1,660.30",107.69,--,"112,400,000.00"
"Nov 19, 2010","1,656.01",107.39,--,"112,600,000.00"
"Nov 18, 2010","1,654.57",107.30,--,"112,600,000.00"
"Nov 17, 2010","1,655.76",107.37,--,"112,900,000.00"
"Nov 16, 2010","1,655.48",107.35,--,"113,300,000.00"
"Nov 15, 2010","1,652.00",107.12,--,"114,700,000.00"
"Nov 12, 2010","1,660.07",107.64,--,"114,700,000.00"
"Nov 11, 2010",--,108.09,--,"114,700,000.00"
"Nov 10, 2010","1,666.57",108.08,--,"114,700,000.00"
"Nov 09, 2010","1,665.50",108.01,--,"114,700,000.00"
"Nov 08, 2010","1,672.16",108.45,--,"114,700,000.00"
"Nov 05, 2010","1,673.32",108.52,--,"114,700,000.00"
"Nov 04, 2010","1,677.18",108.78,--,"114,700,000.00"
"Nov 03, 2010","1,670.53",108.34,--,"114,700,000.00"
"Nov 02, 2010","1,671.89",108.43,--,"115,000,000.00"
"Nov 01, 2010","1,668.62",108.21,0.28,"115,000,000.00"
"Oct 29, 2010","1,668.58",108.47,--,"115,000,000.00"
"Oct 28, 2010","1,665.08",108.25,--,"115,000,000.00"
"Oct 27, 2010","1,662.00",108.05,--,"115,100,000.00"
"Oct 26, 2010","1,665.35",108.27,--,"115,100,000.00"
"Oct 25, 2010","1,669.68",108.56,--,"115,100,000.00"
"Oct 22, 2010","1,669.12",108.50,--,"115,700,000.00"
"Oct 21, 2010","1,669.95",108.55,--,"115,700,000.00"
"Oct 20, 2010","1,672.46",108.73,--,"116,100,000.00"
"Oct 19, 2010","1,671.40",108.66,--,"116,900,000.00"
"Oct 18, 2010","1,669.33",108.52,--,"117,300,000.00"
"Oct 15, 2010","1,664.13",108.18,--,"117,800,000.00"
"Oct 14, 2010","1,668.85",108.50,--,"118,000,000.00"
"Oct 13, 2010","1,672.96",108.77,--,"118,200,000.00"
"Oct 12, 2010","1,672.23",108.73,--,"118,200,000.00"
"Oct 11, 2010",--,108.84,--,"118,200,000.00"
"Oct 08, 2010","1,673.37",108.81,--,"118,200,000.00"
"Oct 07, 2010","1,672.30",108.74,--,"118,500,000.00"
"Oct 06, 2010","1,671.13",108.68,--,"118,500,000.00"
"Oct 05, 2010","1,666.16",108.34,--,"118,500,000.00"
"Oct 04, 2010","1,665.57",108.31,--,"120,600,000.00"
"Oct 01, 2010","1,662.75",108.13,0.26,"117,900,000.00"
"Sep 30, 2010","1,662.66",108.40,--,"117,300,000.00"
"Sep 29, 2010","1,662.32",108.37,--,"117,200,000.00"
"Sep 28, 2010","1,664.77",108.54,--,"117,100,000.00"
"Sep 27, 2010","1,661.85",108.35,--,"117,100,000.00"
"Sep 24, 2010","1,655.94",107.96,--,"116,500,000.00"
"Sep 23, 2010","1,659.17",108.18,--,"116,500,000.00"
"Sep 22, 2010","1,660.09",108.22,--,"115,800,000.00"
"Sep 21, 2010","1,658.75",108.13,--,"115,800,000.00"
"Sep 20, 2010","1,652.26",107.70,--,"115,800,000.00"
"Sep 17, 2010","1,649.81",107.54,--,"115,800,000.00"
"Sep 16, 2010","1,649.49",107.54,--,"115,800,000.00"
"Sep 15, 2010","1,651.40",107.68,--,"115,800,000.00"
"Sep 14, 2010","1,654.92",107.91,--,"115,800,000.00"
"Sep 13, 2010","1,650.55",107.64,--,"115,800,000.00"
"Sep 10, 2010","1,645.93",107.33,--,"115,300,000.00"
"Sep 09, 2010","1,647.21",107.42,--,"115,300,000.00"
"Sep 08, 2010","1,653.90",107.86,--,"115,300,000.00"
"Sep 07, 2010","1,656.91",107.99,--,"115,800,000.00"
"Sep 03, 2010","1,650.32",107.64,--,"115,300,000.00"
"Sep 02, 2010","1,653.60",107.86,--,"115,000,000.00"
"Sep 01, 2010","1,655.49",107.99,0.30,"115,000,000.00"
"Aug 31, 2010","1,660.89",108.63,--,"115,000,000.00"
"Aug 30, 2010","1,657.43",108.43,--,"115,000,000.00"
"Aug 27, 2010","1,651.41",108.05,--,"115,000,000.00"
"Aug 26, 2010","1,660.20",108.63,--,"115,000,000.00"
"Aug 25, 2010","1,657.35",108.44,--,"115,000,000.00"
"Aug 24, 2010","1,659.06",108.56,--,"115,000,000.00"
"Aug 23, 2010","1,654.43",108.26,--,"114,900,000.00"
"Aug 20, 2010","1,653.28",108.18,--,"114,800,000.00"
"Aug 19, 2010","1,655.97",108.36,--,"114,800,000.00"
"Aug 18, 2010","1,651.89",108.09,--,"114,800,000.00"
"Aug 17, 2010","1,652.09",108.11,--,"114,800,000.00"
"Aug 16, 2010","1,655.68",108.34,--,"114,800,000.00"
"Aug 13, 2010","1,649.24",107.90,--,"114,800,000.00"
"Aug 12, 2010","1,646.31",107.72,--,"114,900,000.00"
"Aug 11, 2010","1,649.29",107.90,--,"115,100,000.00"
"Aug 10, 2010","1,645.58",107.68,--,"115,100,000.00"
"Aug 09, 2010","1,644.05",107.59,--,"115,100,000.00"
"Aug 06, 2010","1,644.40",107.61,--,"115,300,000.00"
"Aug 05, 2010","1,640.38",107.35,--,"115,500,000.00"
"Aug 04, 2010","1,638.53",107.24,--,"115,700,000.00"
"Aug 03, 2010","1,640.84",107.38,--,"115,700,000.00"
"Aug 02, 2010","1,636.70",107.12,0.29,"115,700,000.00"
"Jul 30, 2010","1,639.79",107.62,--,"115,700,000.00"
"Jul 29, 2010","1,634.43",107.25,--,"115,700,000.00"
"Jul 28, 2010","1,633.68",107.21,--,"115,500,000.00"
"Jul 27, 2010","1,630.61",107.02,--,"115,400,000.00"
"Jul 26, 2010","1,632.12",107.12,--,"115,400,000.00"
"Jul 23, 2010","1,630.98",107.05,--,"115,400,000.00"
"Jul 22, 2010","1,633.25",107.22,--,"115,200,000.00"
"Jul 21, 2010","1,634.68",107.31,--,"115,200,000.00"
"Jul 20, 2010","1,631.21",107.08,--,"115,200,000.00"
"Jul 19, 2010","1,629.36",106.96,--,"115,100,000.00"
"Jul 16, 2010","1,630.84",107.06,--,"115,100,000.00"
"Jul 15, 2010","1,628.46",106.92,--,"115,000,000.00"
"Jul 14, 2010","1,624.31",106.64,--,"115,000,000.00"
"Jul 13, 2010","1,619.55",106.32,--,"115,000,000.00"
"Jul 12, 2010","1,622.10",106.49,--,"115,000,000.00"
"Jul 09, 2010","1,620.78",106.38,--,"115,000,000.00"
"Jul 08, 2010","1,621.99",106.46,--,"115,000,000.00"
"Jul 07, 2010","1,623.01",106.52,--,"114,400,000.00"
"Jul 06, 2010","1,625.11",106.66,--,"114,400,000.00"
"Jul 02, 2010","1,621.09",106.40,--,"114,400,000.00"
"Jul 01, 2010","1,623.39",106.56,0.31,"114,400,000.00"
"Jun 30, 2010","1,622.48",106.82,--,"114,400,000.00"
"Jun 29, 2010","1,622.33",106.80,--,"114,200,000.00"
"Jun 28, 2010","1,620.08",106.66,--,"113,700,000.00"
"Jun 25, 2010","1,614.97",106.32,--,"112,700,000.00"
"Jun 24, 2010","1,613.70",106.23,--,"112,700,000.00"
"Jun 23, 2010","1,615.21",106.33,--,"112,700,000.00"
"Jun 22, 2010","1,612.67",106.16,--,"112,700,000.00"
"Jun 21, 2010","1,608.44",105.88,--,"112,700,000.00"
"Jun 18, 2010","1,607.70",105.83,--,"112,700,000.00"
"Jun 17, 2010","1,608.83",105.90,--,"112,600,000.00"
"Jun 16, 2010","1,602.80",105.49,--,"112,600,000.00"
"Jun 15, 2010","1,600.81",105.36,--,"112,500,000.00"
"Jun 14, 2010","1,602.25",105.45,--,"112,500,000.00"
"Jun 11, 2010","1,604.42",105.60,--,"112,500,000.00"
"Jun 10, 2010","1,597.65",105.22,--,"112,400,000.00"
"Jun 09, 2010","1,605.69",105.66,--,"111,800,000.00"
"Jun 08, 2010","1,606.53",105.72,--,"111,800,000.00"
"Jun 07, 2010","1,605.71",105.66,--,"111,700,000.00"
"Jun 04, 2010","1,605.54",105.65,--,"110,700,000.00"
"Jun 03, 2010","1,595.00",104.96,--,"109,500,000.00"
"Jun 02, 2010","1,596.20",105.03,--,"109,100,000.00"
"Jun 01, 2010","1,597.85",105.17,0.32,"109,100,000.00"
"May 28, 2010","1,597.43",105.41,--,"109,100,000.00"
"May 27, 2010","1,594.45",105.24,--,"108,800,000.00"
"May 26, 2010","1,600.68",105.65,--,"108,800,000.00"
"May 25, 2010","1,603.75",105.86,--,"108,800,000.00"
"May 24, 2010","1,602.14",105.76,--,"108,800,000.00"
"May 21, 2010","1,605.01",105.95,--,"108,900,000.00"
"May 20, 2010","1,603.15",105.82,--,"108,900,000.00"
"May 19, 2010","1,598.73",105.53,--,"109,000,000.00"
"May 18, 2010","1,599.44",105.57,--,"109,100,000.00"
"May 17, 2010","1,594.78",105.27,--,"109,100,000.00"
"May 14, 2010","1,596.03",105.35,--,"109,100,000.00"
"May 13, 2010","1,588.70",104.86,--,"109,100,000.00"
"May 12, 2010","1,587.01",104.75,--,"109,100,000.00"
"May 11, 2010","1,587.24",104.75,--,"109,700,000.00"
"May 10, 2010","1,587.74",104.74,--,"109,800,000.00"
"May 07, 2010","1,591.19",104.99,--,"109,800,000.00"
"May 06, 2010","1,596.77",105.39,--,"109,800,000.00"
"May 05, 2010","1,589.42",104.92,--,"109,800,000.00"
"May 04, 2010","1,586.26",104.69,--,"109,800,000.00"
"May 03, 2010","1,581.13",104.35,0.31,"109,800,000.00"
"Apr 30, 2010","1,584.10",104.86,--,"109,800,000.00"
"Apr 29, 2010","1,580.33",104.61,--,"109,800,000.00"
"Apr 28, 2010","1,576.56",104.35,--,"110,300,000.00"
"Apr 27, 2010","1,581.57",104.69,--,"110,300,000.00"
"Apr 26, 2010","1,574.65",104.22,--,"110,300,000.00"
"Apr 23, 2010","1,573.88",104.17,--,"110,300,000.00"
"Apr 22, 2010","1,576.29",104.33,--,"110,300,000.00"
"Apr 21, 2010","1,578.70",104.52,--,"110,100,000.00"
"Apr 20, 2010","1,575.05",104.27,--,"109,500,000.00"
"Apr 19, 2010","1,574.82",104.25,--,"109,500,000.00"
"Apr 16, 2010","1,577.56",104.45,--,"109,500,000.00"
"Apr 15, 2010","1,572.35",104.09,--,"109,500,000.00"
"Apr 14, 2010","1,570.79",103.98,--,"109,500,000.00"
"Apr 13, 2010","1,573.18",104.15,--,"109,500,000.00"
"Apr 12, 2010","1,571.09",104.00,--,"109,500,000.00"
"Apr 09, 2010","1,566.37",103.68,--,"109,500,000.00"
"Apr 08, 2010","1,565.33",103.60,--,"109,500,000.00"
"Apr 07, 2010","1,566.66",103.69,--,"109,500,000.00"
"Apr 06, 2010","1,559.21",103.19,--,"109,500,000.00"
"Apr 05, 2010","1,557.02",103.05,--,"109,500,000.00"
"Apr 01, 2010","1,565.63",103.63,0.32,"109,500,000.00"
"Mar 31, 2010","1,567.78",104.09,--,"109,500,000.00"
"Mar 30, 2010","1,565.67",103.95,--,"109,500,000.00"
"Mar 29, 2010","1,566.43",104.01,--,"109,500,000.00"
"Mar 26, 2010","1,566.09",104.00,--,"109,500,000.00"
"Mar 25, 2010","1,563.04",103.80,--,"109,500,000.00"
"Mar 24, 2010","1,566.69",104.06,--,"109,500,000.00"
"Mar 23, 2010","1,574.70",104.61,--,"109,500,000.00"
"Mar 22, 2010","1,574.49",104.59,--,"109,300,000.00"
"Mar 19, 2010","1,573.32",104.46,--,"109,300,000.00"
"Mar 18, 2010","1,574.10",104.50,--,"109,300,000.00"
"Mar 17, 2010","1,575.64",104.62,--,"109,300,000.00"
"Mar 16, 2010","1,574.65",104.54,--,"109,300,000.00"
"Mar 15, 2010","1,571.41",104.34,--,"109,200,000.00"
"Mar 12, 2010","1,570.45",104.27,--,"109,200,000.00"
"Mar 11, 2010","1,569.88",104.23,--,"108,700,000.00"
"Mar 10, 2010","1,569.44",104.20,--,"108,500,000.00"
"Mar 09, 2010","1,570.03",104.24,--,"108,500,000.00"
"Mar 08, 2010","1,568.24",104.14,--,"108,500,000.00"
"Mar 05, 2010","1,568.38",104.14,--,"108,500,000.00"
"Mar 04, 2010","1,571.82",104.39,--,"108,500,000.00"
"Mar 03, 2010","1,570.82",104.33,--,"108,500,000.00"
"Mar 02, 2010","1,570.57",104.31,--,"108,500,000.00"
"Mar 01, 2010","1,569.45",104.23,0.32,"108,500,000.00"
"Feb 26, 2010","1,569.71",104.54,--,"108,500,000.00"
"Feb 25, 2010","1,565.97",104.30,--,"108,500,000.00"
"Feb 24, 2010","1,563.20",104.11,--,"108,500,000.00"
"Feb 23, 2010","1,563.63",104.14,--,"108,500,000.00"
"Feb 22, 2010","1,557.42",103.74,--,"108,500,000.00"
"Feb 19, 2010","1,556.18",103.66,--,"108,500,000.00"
"Feb 18, 2010","1,555.60",103.62,--,"108,500,000.00"
"Feb 17, 2010","1,558.42",103.81,--,"108,500,000.00"
"Feb 16, 2010","1,562.71",104.09,--,"108,500,000.00"
"Feb 12, 2010","1,560.42",103.94,--,"108,500,000.00"
"Feb 11, 2010","1,557.91",103.79,--,"108,500,000.00"
"Feb 10, 2010","1,559.25",103.90,--,"108,500,000.00"
"Feb 09, 2010","1,562.97",104.15,--,"108,500,000.00"
"Feb 08, 2010","1,565.90",104.32,--,"108,500,000.00"
"Feb 05, 2010","1,568.50",104.51,--,"108,500,000.00"
"Feb 04, 2010","1,565.27",104.28,--,"108,500,000.00"
"Feb 03, 2010","1,560.28",103.96,--,"108,500,000.00"
"Feb 02, 2010","1,563.18",104.16,--,"108,500,000.00"
"Feb 01, 2010","1,561.40",104.03,0.33,"108,500,000.00"
"Jan 29, 2010","1,563.87",104.53,--,"108,500,000.00"
"Jan 28, 2010","1,560.05",104.27,--,"108,500,000.00"
"Jan 27, 2010","1,560.28",104.29,--,"108,500,000.00"
"Jan 26, 2010","1,560.99",104.34,--,"108,500,000.00"
"Jan 25, 2010","1,561.25",104.37,--,"108,500,000.00"
"Jan 22, 2010","1,563.03",104.49,--,"108,500,000.00"
"Jan 21, 2010","1,563.39",104.53,--,"108,500,000.00"
"Jan 20, 2010","1,560.13",104.28,--,"108,500,000.00"
"Jan 19, 2010","1,557.39",104.12,--,"109,000,000.00"
"Jan 15, 2010","1,559.18",104.25,--,"109,000,000.00"
"Jan 14, 2010","1,555.83",104.04,--,"109,000,000.00"
