symbol,date,nav,shares
FXE,2010-08-24,126.00274658203125,0.0
FXE,2010-08-25,125.79322052001953,0.0
FXE,2010-08-26,126.57149505615234,0.0
FXE,2010-08-27,126.61141204833984,0.0
FXE,2010-08-30,125.93292236328125,0.0
FXE,2010-08-31,125.97282409667969,0.0
FXE,2010-09-01,127.27993774414062,0.0
FXE,2010-09-02,127.4894790649414,0.0
FXE,2010-09-03,128.18798828125,0.0
FXE,2010-09-07,126.20230865478516,0.0
FXE,2010-09-08,126.40188598632812,0.0
FXE,2010-09-09,126.31206512451172,0.0
FXE,2010-09-10,126.38192749023438,0.0
FXE,2010-09-13,127.9784164428711,0.0
FXE,2010-09-14,129.3054656982422,0.0
FXE,2010-09-15,129.3354034423828,0.0
FXE,2010-09-16,130.01394653320312,0.0
FXE,2010-09-17,129.5948486328125,0.0
FXE,2010-09-20,129.84432983398438,0.0
FXE,2010-09-21,131.54055786132812,0.0
FXE,2010-09-22,133.1171112060547,0.0
FXE,2010-09-23,132.4086456298828,0.0
FXE,2010-09-24,134.1149139404297,0.0
FXE,2010-09-27,133.90536499023438,0.0
FXE,2010-09-28,134.99298095703125,0.0
FXE,2010-09-29,135.49188232421875,0.0
FXE,2010-09-30,135.5118408203125,0.0
FXE,2010-10-01,136.9486846923828,0.0
FXE,2010-10-04,136.09056091308594,0.0
FXE,2010-10-05,137.54734802246094,0.0
FXE,2010-10-06,138.52520751953125,0.0
FXE,2010-10-07,138.315673828125,0.0
FXE,2010-10-08,138.4453582763672,0.0
FXE,2010-10-11,137.8965606689453,0.0
FXE,2010-10-12,138.34559631347656,0.0
FXE,2010-10-13,138.73472595214844,0.0
FXE,2010-10-14,139.91217041015625,0.0
FXE,2010-10-15,138.9442901611328,0.0
FXE,2010-10-18,139.1138916015625,0.0
FXE,2010-10-19,136.5096435546875,0.0
FXE,2010-10-20,138.66488647460938,0.0
FXE,2010-10-21,138.42539978027344,0.0
FXE,2010-10-22,138.47532653808594,0.0
FXE,2010-10-25,138.8843994140625,0.0
FXE,2010-10-26,137.7369384765625,0.0
FXE,2010-10-27,136.8688507080078,0.0
FXE,2010-10-28,138.46536254882812,0.0
FXE,2010-10-29,138.385498046875,0.0
FXE,2010-11-01,138.065185546875,0.0
FXE,2010-11-02,139.46221923828125,0.0
FXE,2010-11-03,140.40020751953125,0.0
FXE,2010-11-04,141.19851684570312,0.0
